Région,Nom,Âge,Taille,Résidence,Date élection,Classement Final,année,Top 15/12,Points_du_public,Points_du_jury,Points_totaux,top_5,Classement,ID_REGION
Miss Alsace,Mathilde Buecher,19,1.78,Heimersdorf,2010-10-10 00:00:00.000000000,,2011,False,0,0,0,False,,1
Miss Aquitaine,Clémence Thill,20,1.75,Agen,2010-10-16 00:00:00.000000000,,2011,False,0,0,0,False,,2
Miss Auvergne,Clémence Oleksy,19,1.76,Vichy,2010-10-17 00:00:00.000000000,2e dauphine,2011,True,10,12,22,True,3,3
Miss Bourgogne,Alice Detollenaere,23,1.74,Chitry-les-Mines,2017-09-29 00:00:00.000000000,Prix du Mannequinat,2011,False,0,0,0,False,,4
Miss Bretagne,Laury Thilleman,19,1.78,Brest,2010-10-26 00:00:00.000000000,"Miss France 2011
Prix de la Culture générale",2011,True,12,11,23,True,1,5
Miss Centre,Sarah Perrin,23,1.72,Champillet,2010-10-02 00:00:00.000000000,,2011,False,0,0,0,False,,6
Miss Champagne-Ardenne,Kelly Renson,19,1.7,Vendeuvre-sur-Barse,2010-10-30 00:00:00.000000000,,2011,False,0,0,0,False,,7
Miss Corse,Jade Morel,23,1.76,Castineta,2010-09-04 00:00:00.000000000,Top 12 (10e),2011,True,3,5,8,False,,8
Miss Côte d'Azur,Marine Laugier,22,1.77,Biot,2010-08-28 00:00:00.000000000,Top 12 (12e),2011,True,2,2,4,False,,9
Miss Franche-Comté,Sabrina Halm,22,1.7,Mathay,2010-10-31 00:00:00.000000000,,2011,False,0,0,0,False,,10
Miss Guadeloupe,Jenny Vulgaire[1],21,1.73,Petit-Bourg,2010-07-31 00:00:00.000000000,,2011,False,0,0,0,False,,11
Miss Guyane,Julie-Malika Grosse,18,1.76,Cayenne,2010-10-09 00:00:00.000000000,Prix de la Sympathie,2011,False,0,0,0,False,,12
Miss Île-de-France,Sabine Hossenbaccus,22,1.7,Vitry-sur-Seine,2010-10-28 00:00:00.000000000,4e dauphine,2011,True,7,9,16,True,5,13
Miss Languedoc-Roussillon,Jenna Sylvestre,22,1.72,Montpellier,2010-08-07 00:00:00.000000000,1re dauphine,2011,True,11,6,17,True,2,14
Miss Limousin,Nellie Valentin,24,1.72,Brive-la-Gaillarde,2010-09-19 00:00:00.000000000,,2011,False,0,0,0,False,,15
Miss Lorraine,Maëva Pax,19,1.7,Sarreinsming,2010-10-23 00:00:00.000000000,Prix de la photogénie TV Mag,2011,False,0,0,0,False,,16
Miss Martinique,Anaïs Corosine,23,1.75,Le Lamentin,2010-07-30 00:00:00.000000000,6e dauphine,2011,True,8,5,13,False,,17
Miss Mayotte,Elisabeth Ongaretto,19,1.71,Mamoudzou,2010-07-31 00:00:00.000000000,,2011,False,0,0,0,False,,18
Miss Midi-Pyrénées,Alison Martin,24,1.73,Tournefeuille,2010-10-15 00:00:00.000000000,Prix du sourire de la ville de Caen,2011,False,0,0,0,False,,19
Miss Nord-Pas-de-Calais,Angéline Lagache,22,1.73,Barlin,2010-09-25 00:00:00.000000000,Prix de l'hospitalité,2011,False,0,0,0,False,,20
Miss Normandie,Juliette Polge,22,1.7,Le Noyer-en-Ouche,2010-10-08 00:00:00.000000000,Top 12 (11e),2011,True,4,2,6,False,,21
